AreaCode,AreaDesc,AreaFull,MeanCode,MeanDesc,MeanFull,Ppl
001,Far North District,001: Far North District,01,Worked at home,01: Worked at home,3393
001,Far North District,001: Far North District,02,Did not go to work today,02: Did not go to work today,2118
001,Far North District,001: Far North District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",9453
001,Far North District,001: Far North District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",2241
001,Far North District,001: Far North District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",720
001,Far North District,001: Far North District,06,Public bus,06: Public bus,51
001,Far North District,001: Far North District,07,Train,07: Train,12
001,Far North District,001: Far North District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,246
001,Far North District,001: Far North District,09,Bicycle,09: Bicycle,126
001,Far North District,001: Far North District,10,Walked or jogged,10: Walked or jogged,1083
001,Far North District,001: Far North District,15,Other,15: Other,243
002,Whangarei District,002: Whangarei District,01,Worked at home,01: Worked at home,3219
002,Whangarei District,002: Whangarei District,02,Did not go to work today,02: Did not go to work today,3669
002,Whangarei District,002: Whangarei District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",16389
002,Whangarei District,002: Whangarei District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",3948
002,Whangarei District,002: Whangarei District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",1389
002,Whangarei District,002: Whangarei District,06,Public bus,06: Public bus,186
002,Whangarei District,002: Whangarei District,07,Train,07: Train,12
002,Whangarei District,002: Whangarei District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,375
002,Whangarei District,002: Whangarei District,09,Bicycle,09: Bicycle,399
002,Whangarei District,002: Whangarei District,10,Walked or jogged,10: Walked or jogged,1305
002,Whangarei District,002: Whangarei District,15,Other,15: Other,192
003,Kaipara District,003: Kaipara District,01,Worked at home,01: Worked at home,1689
003,Kaipara District,003: Kaipara District,02,Did not go to work today,02: Did not go to work today,810
003,Kaipara District,003: Kaipara District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",3270
003,Kaipara District,003: Kaipara District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",867
003,Kaipara District,003: Kaipara District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",267
003,Kaipara District,003: Kaipara District,06,Public bus,06: Public bus,12
003,Kaipara District,003: Kaipara District,07,Train,07: Train,3
003,Kaipara District,003: Kaipara District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,249
003,Kaipara District,003: Kaipara District,09,Bicycle,09: Bicycle,54
003,Kaipara District,003: Kaipara District,10,Walked or jogged,10: Walked or jogged,417
003,Kaipara District,003: Kaipara District,15,Other,15: Other,66
076,Auckland,076: Auckland,01,Worked at home,01: Worked at home,44256
076,Auckland,076: Auckland,02,Did not go to work today,02: Did not go to work today,61827
076,Auckland,076: Auckland,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",340302
076,Auckland,076: Auckland,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",65481
076,Auckland,076: Auckland,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",24510
076,Auckland,076: Auckland,06,Public bus,06: Public bus,33933
076,Auckland,076: Auckland,07,Train,07: Train,9462
076,Auckland,076: Auckland,08,Motor cycle or power cycle,08: Motor cycle or power cycle,5496
076,Auckland,076: Auckland,09,Bicycle,09: Bicycle,6342
076,Auckland,076: Auckland,10,Walked or jogged,10: Walked or jogged,26529
076,Auckland,076: Auckland,15,Other,15: Other,7989
011,Thames-Coromandel District,011: Thames-Coromandel District,01,Worked at home,01: Worked at home,1680
011,Thames-Coromandel District,011: Thames-Coromandel District,02,Did not go to work today,02: Did not go to work today,1485
011,Thames-Coromandel District,011: Thames-Coromandel District,03,"Drove a private car, truck or van","03: Drove a private car, truck or van",4770
011,Thames-Coromandel District,011: Thames-Coromandel District,04,"Drove a company car, truck or van","04: Drove a company car, truck or van",1386
011,Thames-Coromandel District,011: Thames-Coromandel District,05,"Passenger in a car, truck, van or company bus","05: Passenger in a car, truck, van or company bus",327
011,Thames-Coromandel District,011: Thames-Coromandel District,06,Public bus,06: Public bus,15
011,Thames-Coromandel District,011: Thames-Coromandel District,07,Train,07: Train,3
011,Thames-Coromandel District,011: Thames-Coromandel District,08,Motor cycle or power cycle,08: Motor cycle or power cycle,120
011,Thames-Coromandel District,011: Thames-Coromandel District,09,Bicycle,09: Bicycle,282
011,Thames-Coromandel District,011: Thames-Coromandel District,10,Walked or jogged,10: Walked or jogged,855
011,Thames-Coromandel District,011: Thames-Coromandel District,15,Other,15: Other,66
012,Hauraki District,012: Hauraki District,01,Worked at home,01: Worked at home,1368
012,Hauraki District,012: Hauraki District,02,Did not go to work today,02: Did not go to work today,801
